date,title,link
14 Dis 2001,Kajian Risiko Penyelesaian Pertukaran Asing,https://www.bnm.gov.my/-/kajian-risiko-penyelesaian-pertukaran-asing
06 Dis 2001,Rizab Antarabangsa BNM pada 30 Nov 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-nov-2001
30 Nov 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Oktober 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-oktober-2001-nota-penerangan
28 Nov 2001,Perkembangan Monetari dan Kewangan pada bulan Oktober 2001,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-oktober-2001
28 Nov 2001,BNM terbitkan Buku Wang Saku dan Buku Perancangan dan Penyata Kewangan Keluarga 2002,https://www.bnm.gov.my/-/bnm-terbitkan-buku-wang-saku-dan-buku-perancangan-dan-penyata-kewangan-keluarga-2002
27 Nov 2001,"Pemansuhan Larangan Ke Atas Pemberian Pinjaman Titian bagi Pembangunan Projek Perumahan Melebihi RM250,000 Seunit",https://www.bnm.gov.my/-/pemansuhan-larangan-ke-atas-pemberian-pinjaman-titian-bagi-pembangunan-projek-perumahan-melebihi-rm250-000-seunit
23 Nov 2001,Rizab Antarabangsa BNM pada 15 Nov 2001,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-nov-2001-1
23 Nov 2001,Perkembangan Ekonomi & Kewangan Malaysia pada Suku Ketiga 2001,https://www.bnm.gov.my/-/perkembangan-ekonomi-kewangan-malaysia-pada-suku-ketiga-2001
08 Nov 2001,Rizab Antarabangsa BNM pada 31 Okt 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-okt-2001
06 Nov 2001,Sesi Dialog dengan Syarikat Insurans dan Pengendali Takaful,https://www.bnm.gov.my/-/sesi-dialog-dengan-syarikat-insurans-dan-pengendali-takaful-1
01 Nov 2001,Seorang lelaki dikehendaki untuk membantu siasatan BNM,https://www.bnm.gov.my/-/seorang-lelaki-dikehendaki-untuk-membantu-siasatan-bnm
31 Okt 2001,Kematangan Bon Simpanan Malaysia Siri 02,https://www.bnm.gov.my/-/kematangan-bon-simpanan-malaysia-siri-02
31 Okt 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan September 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-september-2001-nota-penerangan
29 Okt 2001,Perkembangan Monetari dan Kewangan pada bulan September 2001,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-september-2001
19 Okt 2001,Rizab Antarabangsa BNM pada 15 Okt 2001,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-oct-2001-1
17 Okt 2001,Jualan Duit Syiling Peringatan Keluaran BNM,https://www.bnm.gov.my/-/jualan-duit-syiling-peringatan-keluaran-bnm
12 Okt 2001,Penurunan Kadar Pinjaman dan Liberalisasi Kriteria Kelayakan Tabung-tabung Khas,https://www.bnm.gov.my/-/enurunan-kadar-pinjaman-dan-liberalisasi-kriteria-kelayakan-tabung-tabung-khas
08 Okt 2001,Rizab Antarabangsa BNM pada 29 Sep 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-29-sep-2001
28 Sep 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Ogos 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-ogos-2001-nota-penerangan
28 Sep 2001,Perkembangan Monetari dan Kewangan pada bulan Ogos 2001,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-ogos-2001
21 Sep 2001,Rizab Antarabangsa BNM pada 14 Sep 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-sep-2001
20 Sep 2001,Pengurangan Kadar Campurtangan,https://www.bnm.gov.my/-/pengurangan-kadar-campurtangan
18 Sep 2001,Penggunaan Sistem Perbankan oleh Elemen Jenayah,https://www.bnm.gov.my/-/penggunaan-sistem-perbankan-oleh-elemen-jenayah
12 Sep 2001,Perkhidmatan perbankan seperti biasa di Malaysia hari ini,https://www.bnm.gov.my/-/perkhidmatan-perbankan-seperti-biasa-di-malaysia-hari-ini
07 Sep 2001,Rizab Antarabangsa BNM pada 30 Ogos 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-ogos-2001
30 Ogos 2001,Penerbitan Duit Syiling Peringatan Sempena Sukan SEA XXI 2001,https://www.bnm.gov.my/-/penerbitan-duit-syiling-peringatan-sempena-sukan-sea-xxi-2001
30 Ogos 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Julai 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-julai-2001-nota-penerangan-1
28 Ogos 2001,Perkembangan Monetari dan Kewangan pada bulan Julai 2001,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-julai-2001
22 Ogos 2001,Rizab Antarabangsa BNM pada 15 Ogos 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-15-ogos-2001
15 Ogos 2001,Minggu Perbankan Islam & Takaful,https://www.bnm.gov.my/-/minggu-perbankan-islam-takaful
08 Ogos 2001,Rizab Antarabangsa BNM pada 31 Jul 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-jul-2001
31 Jul 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Jun 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-julai-2001-nota-penerangan
23 Jul 2001,Rizab Antarabangsa BNM pada 14 Jul 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-jul-2001
19 Jul 2001,Maklumat Lanjut mengenai Notis Kawalan Pertukaran (ECM) yang Baru - Bhg. 21,https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-21
17 Jul 2001,Pelancaran Duit Syiling Bulion Kijang Emas,https://www.bnm.gov.my/-/pelancaran-duit-syiling-bulion-kijang-emas
17 Jul 2001,Soalan Lazim berkenaan Duit Syiling Bulion Kijang Emas,https://www.bnm.gov.my/-/soalan-lazim-berkenaan-duit-syiling-bulion-kijang-emas
10 Jul 2001,Maklumat Lanjut mengenai Notis Kawalan Pertukaran (ECM) yang Baru - Bhg. 20,https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-20
09 Jul 2001,Rizab Antarabangsa BNM pada 29 Jun 2001,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-29-jun-2001
03 Jul 2001,Status Pematuhan Penginsurans kepada Keperluan Modal Berbayar yang Baru,https://www.bnm.gov.my/-/status-pematuhan-penginsurans-kepada-keperluan-modal-berbayar-yang-baru
29 Jun 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Mei 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-mei-2001-nota-penerangan
22 Jun 2001,Rizab Antarabangsa BNM pada 15 Jun 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-15-jun-2001
14 Jun 2001,Maklumat Lanjut mengenai Notis Kawalan Pertukaran (ECM) yang Baru - Bhg. 19,https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-19
08 Jun 2001,Rizab Antarabangsa BNM pada 31 Mei 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-mei-2001
31 Mei 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan April 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-april-2001-nota-penerangan
24 Mei 2001,Memerangi Kegiatan Wang Haram: Jenayah Tanpa Batasan,https://www.bnm.gov.my/-/memerangi-kegiatan-wang-haram-jenayah-tanpa-batasan
24 Mei 2001,Labuan IOFC - Kawasan Undang-undang Berisiko Rendah bagi Kegiatan Wang Haram,https://www.bnm.gov.my/-/labuan-iofc-kawasan-undang-undang-berisiko-rendah-bagi-kegiatan-wang-haram
24 Mei 2001,IBBM akan melancarkan Program Latihan Anti-Kegiatan Wang Haram,https://www.bnm.gov.my/-/ibbm-akan-melancarkan-program-latihan-anti-kegiatan-wang-haram
08 Mei 2001,Rizab Antarabangsa BNM pada 30 Apr 2001,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-30-apr-2001
