0,1,2,3,4,5,6
2. beban yang sengaja dicari,Yang bawak balek reba tu pasai apa? Reja yang dok ada pon tak tepulon.,[jAN bA.wA bA.le Ò«.bA tu pA.sAj A.pA Ò«.dZA jAN do A.dA pon tA t«.pu.lon],Mengapa bawa balik beban. Kerja yang sedia ada pun tidak terbuat.,,,
"2. bahagian belakang sesuatu seperti kereta, kuali dan lain-lain",Awat pungkoq reta hang kemek?,[A.wAt puN.ko)Ö ÒE.tA hAN k«.me],Apa sebab belakang kereta awak kemek?,,,
2. memukul seseorang,Dia pediah budak yang suka acan dia.,[di.jA pi.di.jAh bu.dA/ jAN su.kA A.tSAn di.jA],Dia memukul budak yang suka mengusiknya.,,,
"2. pekat berkenaan bahasa, sebutan dan sebagainya",Dah dok Ko Lompo dah sepuloh taon lorat Pineng dia dok piau situ lah.,[dAh do k lom.po dAh s«.pu.loh tAon l.ÒAt pi.neN di.jA do pi.jAw si.tu lAh],Tinggal di Kuala Lumpur sudah sepuluh tahun loghat Pulau Pinangnya masih pekat lagi.,,,
2. mempengaruhi seseorang,"Hang dok baek dengan dia, hang petek sikit kot-kot dapat habuan.",[hAN do/ bAe/ d«.NAn di.jA hAN p«.tE/ si.kit kot.kot dA.pAt hA.bu.wAn],"Awak baik dengannya, awak pengaruhinya kalau-kalau dapat habuan.",,,
2. mencubit dengan kuat berkali-kali di seluruh bahagian badan,"Awat lemak sangat ni, nak kena perisi kot.",[A.wAt l«.mA sA.NAt ni nA k«.nA p«.Òi.si kot],"Mengapa mengada-ngada, hendak kena cubit agaknya.",,,
3. mengada-adakan cerita,Dia periat kat kami yang dia nak kawen dengan kerabat raja.,[di.jA p«.Òi.jAt kAt kA.mi jAN di.jA nA/ kA.wen d«.NAn k«.ÒA.bAt ÒA.dZA],Dia mengada-adakan cerita pada kami yang dia akan berkahwin dengan kerabat diraja.,,,
"2. menenang atau mengarahkan sesuatu (senapang, buku) ketika melakukan sesuatu (menembak, membaca) dalam jangka masa yang agak lama",Budak tu dok perembang komik dalam kedai.,[bu.dA tu do p«.Ò«m.bAN ko.mi dA.lAm k«.dAj],Budak itu sedang menenang komik dalam kedai.,,,
2. menokok tambah sesuatu cerita; pekunon,"Pak dia tinggai reta besaq cet, dia pekunu kata dapat berelong-relong tanah.",[pA/ di.jA tiN.gAj Ò«.tA b«.sA)Ö tSe/ di.jA p«.ku.nu kA.tA dA.pAt b«.Ò«.loN.Ò«.loN tA.nAh],"Bapaknya meninggalkan harta sikit sahaja, dia menokok nambah cerita yang dia mendapat berelong-relong tanah.",,,
2. menokok tambah sesuatu cerita; pekunu,Pokok derian dia ada empat lima batang tapi dok pekunon dapat derian tiga puloh jaraih.,[p.k/ d«.Òi.jAn di.jA A.dA «m.pAt li.mA bA.tAN tA.pi d/ p«.ku.non dA.pAt d«.Òi.jAn ti.gA pu.loh dZA.ÒAC]­,Pokok duriannya ada empat lima batang tapi menokok nambah cerita mengatakan yang dia mendapat durian tiga puluh jaras.,,,
