0,1,2,3,4,5,6
acik,[A.tSi/],kata nama,panggilan anak pra bongsu.,,,
abang,[A.bAN],kata nama,kakak sulung,"Pekare tu mesti beritau abang Jah, kalau tak, tentu die kecik ati.",[p«.kA.Ä« tu m«s.ti b«.Äi.tAu A.bAN dZAh kA.lAw tA/ t«n.tu,"Perkara itu mesti diberitahu kepada kak long Jah, kalau tidak, tentu dia berkecil hati."
pencok nenas,[p«n.tSo/ n«.nAs],"1. , timun, dan lada yang dihiris halus dan dicampur, dibubuh cuka dan garam. 2. sejenis sambal belacan yang dicampur nanas dan digaul dengan sedikit daun selasih.",,,,
lontong I,[lon.toN],kata nama,1. sejenis makanan berkuah yang mengandungi nasi himpit atau lontong yang dimakan bersama lodeh dan kuah kacang. 2. yang direbus dalam kelongsong daun pisang dalam acuan berbentuk bulat panjang seakan-akan lemang.,,,
kebak,[k«.bA/],kata kerja,2. mengambil barang orang lain.,Itu dah peel die suke kebak barang orang.,[i.tu dAh pe/.el di.j« su.k« ke.bA/ bA.ÄAN o.ÄAN],"Itu sudah menjadi kebiasaannya, suka mengambil barang orang lain."
kebak,[k«.bA/],kata kerja,1. mencangkul tanah menjadi bongkah-bongkah besar.,"Belom buat batas, kene kebak dulu tanah kat kebon tu.",[b«.lom bu.wAt bA.tAs k«.n« k«.bA/ du.lu tA.nAh kAt k«.bon tu],"Sebelum membuat batas, kenalah mencangkul tanah di kebun itu"
beketuntang I,[b«.k«.tun.tAN],kata kerja,2. melonjak kegembiraan.,Bile dapat nombo satu beketuntang die.,[bi.l« dA.pAt nom.bo sA.tu b«.k«.tun.tAN di.j«],"Apabila mendapat nombor satu, dia melonjak kegembiraan."
beketuntang I,[b«.k«.tun.tAN],kata kerja,1. kelam kabut; kangkang kiyap I.,Beketuntang kawan nak siapkan keje rumah.,[b«.k«.tun.tAN kA.wAn nA/ si.jAp.kAn k«.dZ« Äu.mAh],Kelam kabut saya hendak menyiapkan kerja rumah.
kurus kedengkeng,[ku.Äus k«.d«N.keN],"kecil dan kurus; kudut 1, kurus kedengkek.","Badan kurus kedengkeng, nak angkat besi.",[bA.dAn ku.Äus k«.d«N.keN nA/ AN.kAt b«.si],"Badan kurus kering, hendak angkat besi.",
kurus kedengkek,[ku.Äus k«.d«N.ke/],"kecil dan kurus; kudut 1, kurus kedengkeng","Badan kurus kedengkek, nak angkat besi.",[bA.dAn ku.Äus k«.d«N.ke/ nA/ AN.kAt b«.si],"Badan kurus kering, hendak angkat besi.",
